id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
4645,"GEN&WS/SOC 611",46,20,9,9,0,4,1,3,B
4646,"GEN&WS/AFROAMER 624",94,31,18,19,7,7,3,3,B
4647,"GEN&WS/AFROAMER 625",83,24,21,19,6,4,2,0,B
4648,"GEN&WS 640",684,447,152,49,7,9,1,3,A
4649,"GEN&WS 642",216,156,32,19,2,2,1,2,A
4650,"GEN&WS/URB R PL 644",78,44,23,5,3,0,0,2,A
4651,"GEN&WS 660",188,132,37,11,5,1,0,0,A
4652,"GEN&WS/AFROAMER 677",91,39,20,19,1,6,1,2,B
4653,"GEN&WS/AFROAMER 679",85,54,15,10,3,1,0,0,A
4654,"GEN&WS 681",1,0,0,0,0,0,0,0,N/A
4655,"GEN&WS 682",3,1,1,0,0,0,0,0,A
4656,"GEN&WS 691",0,0,0,0,0,0,0,0,N/A
4657,"GEN&WS 692",3,3,0,0,0,0,0,0,A
4658,"GEN&WS 699",17,16,0,0,0,1,0,0,A
4659,"GEN&WS 720",123,103,11,2,0,0,0,0,A
4660,"GEN&WS/ENGL 737",77,59,11,1,0,0,0,0,A
4661,"GEN&WS/CURRIC 760",72,68,0,0,0,0,0,0,A
4662,"GEN&WS 790",5,0,0,0,0,0,0,0,N/A
4663,"GEN&WS 799",2,2,0,0,0,0,0,0,A
4664,"GEN&WS 800",31,20,5,3,1,0,0,0,A
4665,"GEN&WS/ED POL/PUB AFFR 805",22,13,7,1,0,0,0,0,A
4666,"GEN&WS 810",8,7,1,0,0,0,0,0,A
4667,"GEN&WS/JOURN 828",0,0,0,0,0,0,0,0,N/A
4668,"GEN&WS 830",12,11,1,0,0,0,0,0,A
4669,"GEN&WS 840",8,8,0,0,0,0,0,0,A
4670,"GEN&WS 860",31,20,5,3,1,0,0,0,A
4671,"GEN&WS 880",135,120,6,1,0,0,0,0,A
4672,"GEN&WS/C&E SOC/SOC 904",43,35,6,2,0,0,0,0,A
4673,"GEN&WS/ANTHRO 920",15,15,0,0,0,0,0,0,A
4674,"GEN&WS/PSYCH 932",6,5,1,0,0,0,0,0,A
