id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
2688,"CURRIC 510",87,82,3,0,0,0,0,0,A
2689,"CURRIC 511",25,0,0,0,0,0,0,0,N/A
2690,"CURRIC/ED POL/HISTORY/JEWISH 515",415,277,94,26,7,7,0,1,A
2691,"CURRIC/ED POL/RELIG ST 516",38,24,5,3,0,1,0,0,A
2692,"CURRIC/THEATRE 525",8,7,0,1,0,0,0,0,A
2693,"CURRIC 534",55,50,2,1,1,0,0,0,A
2694,"CURRIC 535",55,50,2,1,1,0,0,0,A
2695,"CURRIC 536",48,35,8,3,1,1,0,0,A
2696,"CURRIC 537",378,337,28,12,0,0,1,0,A
2697,"CURRIC 545",6,6,0,0,0,0,0,0,A
2698,"CURRIC 546",0,0,0,0,0,0,0,0,N/A
2699,"CURRIC 550",417,386,15,4,0,0,0,0,A
2700,"CURRIC 559",277,231,34,10,0,0,0,0,A
2701,"CURRIC/THEATRE 562",19,15,4,0,0,0,0,0,A
2702,"CURRIC 564",130,117,3,2,0,1,0,0,A
2703,"CURRIC 576",36,33,2,1,0,0,0,0,A
2704,"CURRIC 590",208,145,28,9,0,0,0,2,A
2705,"CURRIC 596",247,234,7,4,0,0,0,0,A
2706,"CURRIC 604",330,328,0,0,0,0,0,0,A
2707,"CURRIC 606",60,57,0,0,0,1,0,0,A
2708,"CURRIC/L I S 620",654,603,27,8,1,0,0,0,A
2709,"CURRIC 625",227,181,38,6,0,0,0,0,A
2710,"CURRIC 626",289,286,0,0,0,0,0,0,A
2711,"CURRIC 630",664,605,22,3,3,3,0,0,A
2712,"CURRIC 632",63,61,1,1,0,0,0,0,A
2713,"CURRIC 635",664,605,22,3,3,3,0,0,A
2714,"CURRIC 636",94,61,13,11,0,5,0,0,A
2715,"CURRIC 637",77,54,11,8,1,2,0,0,A
2716,"CURRIC 638",43,30,7,5,0,1,0,0,A
2717,"CURRIC 639",51,38,8,3,2,0,0,0,A
2718,"CURRIC 640",33,20,9,1,0,2,0,0,A
2719,"CURRIC 660",607,504,83,9,2,0,0,2,A
2720,"CURRIC 663",299,254,28,11,3,0,0,0,A
2721,"CURRIC 665",79,74,1,0,0,0,0,1,A
2722,"CURRIC 670",14,14,0,0,0,0,0,0,A
2723,"CURRIC 671",0,0,0,0,0,0,0,0,N/A
2724,"CURRIC 673",292,191,23,17,0,1,0,0,A
2725,"CURRIC 674",481,396,36,17,1,2,0,0,A
2726,"CURRIC 675",2237,2069,77,27,4,2,0,1,A
2727,"CURRIC 676",68,52,8,3,1,0,0,0,A
2728,"CURRIC 690",575,564,6,1,0,0,0,0,A
2729,"CURRIC 699",79,59,1,0,0,0,0,0,A
2730,"CURRIC 702",48,32,12,2,0,0,0,0,A
2731,"CURRIC 704",140,127,4,3,1,0,0,0,A
2732,"CURRIC 709",21,21,0,0,0,0,0,0,A
2733,"CURRIC 711",46,41,3,0,0,0,0,0,A
2734,"CURRIC 712",270,254,5,1,0,0,0,0,A
2735,"CURRIC 713",167,54,3,0,0,4,0,0,A
2736,"CURRIC 714",125,96,0,0,0,0,0,0,A
2737,"CURRIC 715",100,75,14,6,0,0,0,0,A
2738,"CURRIC 716",150,127,0,0,0,0,0,0,A
2739,"CURRIC 718",186,172,3,1,0,0,0,0,A
2740,"CURRIC/COUN PSY/ED POL/ED PSYCH/ELPA/RP & SE 719",538,487,32,3,1,0,0,0,A
2741,"CURRIC 720",226,221,5,0,0,0,0,0,A
2742,"CURRIC 721",46,41,3,0,0,0,0,0,A
2743,"CURRIC 723",62,59,0,0,0,0,0,0,A
2744,"CURRIC 726",54,51,1,0,0,0,0,0,A
2745,"CURRIC 727",27,20,1,0,0,0,0,0,A
2746,"CURRIC 729",298,284,1,1,0,0,0,0,A
2747,"CURRIC 731",46,41,3,0,0,0,0,0,A
2748,"CURRIC/STS 733",46,33,7,2,0,0,0,0,A
2749,"CURRIC/STS 734",6,5,0,0,0,0,0,0,A
2750,"CURRIC 735",10,10,0,0,0,0,0,0,A
2751,"CURRIC 736",10,10,0,0,0,0,0,0,A
2752,"CURRIC 737",10,10,0,0,0,0,0,0,A
2753,"CURRIC 739",10,10,0,0,0,0,0,0,A
2754,"CURRIC 743",272,251,4,0,0,0,0,0,A
2755,"CURRIC 744",272,251,4,0,0,0,0,0,A
2756,"CURRIC/ELPA 746",81,60,6,9,0,1,0,0,A
2757,"CURRIC 747",272,251,4,0,0,0,0,0,A
2758,"CURRIC/GEN&WS 760",72,68,0,0,0,0,0,0,A
2759,"CURRIC 764",62,59,1,0,0,0,0,0,A
2760,"CURRIC 765",29,20,0,0,0,0,0,0,A
2761,"CURRIC 772",48,32,12,2,0,0,0,0,A
2762,"CURRIC 774",16,14,0,1,0,0,0,0,A
2763,"CURRIC 775",14,14,0,0,0,0,0,0,A
2764,"CURRIC 778",13,12,0,0,0,0,0,0,A
2765,"CURRIC/COUN PSY/ED POL/ED PSYCH/ELPA/RP & SE 788",219,193,3,3,0,0,0,0,A
2766,"CURRIC/COUN PSY/ED POL/ED PSYCH/ELPA/RP & SE 789",144,129,3,1,0,0,1,0,A
2767,"CURRIC 790",8,6,0,0,0,0,0,0,A
2768,"CURRIC 799",11,11,0,0,0,0,0,0,A
2769,"CURRIC 802",48,32,12,2,0,0,0,0,A
2770,"CURRIC/ED PSYCH/L I S 803",9,8,0,0,0,0,0,0,A
2771,"CURRIC 805",86,86,0,0,0,0,0,0,A
2772,"CURRIC 809",4,3,0,0,0,0,0,0,A
2773,"CURRIC 810",66,58,4,2,0,0,0,0,A
2774,"CURRIC 811",80,62,11,3,2,0,0,0,A
2775,"CURRIC 812",50,36,9,4,1,0,0,0,A
2776,"CURRIC 818",27,25,1,0,0,0,0,0,A
2777,"CURRIC/ED PSYCH 821",25,24,0,0,0,0,0,0,A
2778,"CURRIC 823",21,19,0,0,0,0,0,0,A
2779,"CURRIC 829",48,43,1,0,0,0,0,0,A
2780,"CURRIC 830",191,152,16,0,0,0,0,0,A
2781,"CURRIC 832",25,25,0,0,0,0,0,0,A
2782,"CURRIC 835",54,42,12,0,0,0,0,0,A
2783,"CURRIC 840",82,79,3,0,0,0,0,0,A
2784,"CURRIC 844",212,198,2,1,0,0,0,0,A
2785,"CURRIC/ED POL 855",96,79,4,0,0,1,0,0,A
2786,"CURRIC 860",70,63,6,1,0,0,0,0,A
2787,"CURRIC 864",46,44,0,0,0,0,0,0,A
2788,"CURRIC 900",54,52,1,0,0,0,0,0,A
2789,"CURRIC 910",184,145,15,0,0,0,0,0,A
2790,"CURRIC 912",0,0,0,0,0,0,0,0,N/A
2791,"CURRIC/COM ARTS 914",9,8,0,1,0,0,0,0,A
2792,"CURRIC 916",271,220,2,1,0,0,0,0,A
2793,"CURRIC/ENVIR ST 932",6,5,0,0,0,0,0,0,A
2794,"CURRIC 942",150,141,9,0,0,0,0,0,A
2795,"CURRIC 943",0,0,0,0,0,0,0,0,N/A
2796,"CURRIC 946",42,34,3,0,1,0,0,0,A
2797,"CURRIC 947",9,9,0,0,0,0,0,0,A
2798,"CURRIC 949",59,54,4,1,0,0,0,0,A
2799,"CURRIC 950",35,26,7,0,0,0,0,0,A
2800,"CURRIC 955",0,0,0,0,0,0,0,0,N/A
2801,"CURRIC 960",165,161,3,0,0,0,0,0,A
2802,"CURRIC/ED POL 963",0,0,0,0,0,0,0,0,N/A
2803,"CURRIC 964",69,54,0,0,0,0,0,0,A
2804,"CURRIC 975",1379,1214,74,18,3,0,1,0,A
2805,"CURRIC 976",63,63,0,0,0,0,0,0,A
2806,"CURRIC 990",2054,0,0,0,0,0,0,0,N/A
2807,"CURRIC 991",2,0,0,0,0,0,0,0,N/A
2808,"CURRIC 999",168,129,3,1,0,0,0,0,A
2809,"DY SCI 1",0,0,0,0,0,0,0,0,N/A
2810,"DY SCI/AN SCI 101",1959,600,361,701,140,121,13,14,B
2811,"DY SCI/AN SCI 102",175,149,12,9,1,3,0,0,A
2812,"DY SCI 205",245,159,54,30,0,0,0,0,A
2813,"DY SCI 233",208,123,44,34,3,4,0,0,A
2814,"DY SCI 234",152,111,30,7,1,2,0,1,A
2815,"DY SCI 289",215,213,2,0,0,0,0,0,A
2816,"DY SCI 299",215,213,2,0,0,0,0,0,A
2817,"DY SCI/AN SCI/NUTR SCI 311",1056,244,213,213,169,134,56,15,BC
2818,"DY SCI/AN SCI 320",410,186,64,90,31,27,8,0,B
2819,"DY SCI/AN SCI 361",899,228,70,290,59,182,47,6,BC
2820,"DY SCI/AN SCI 362",397,99,62,113,41,53,20,3,B
2821,"DY SCI/AN SCI 363",461,178,31,137,26,55,24,8,B
2822,"DY SCI/AN SCI 370",318,126,99,68,18,4,0,0,A
2823,"DY SCI/AGROECOL/AGRONOMY 371",8,8,0,0,0,0,0,0,A
2824,"DY SCI/AN SCI 373",426,128,40,116,28,72,30,6,BC
2825,"DY SCI 375",547,473,36,21,10,5,1,0,A
2826,"DY SCI 378",59,25,10,16,3,3,1,0,B
2827,"DY SCI 399",123,121,1,0,0,0,0,0,A
2828,"DY SCI 400",2356,619,665,611,284,159,13,0,B
2829,"DY SCI/AN SCI 414",359,100,58,92,56,28,19,4,B
2830,"DY SCI/AN SCI 434",1112,302,347,263,145,48,2,2,B
2831,"DY SCI/AGRONOMY 471",99,78,10,8,1,1,0,0,A
2832,"DY SCI/AN SCI/FOOD SCI/SOIL SCI 472",104,58,16,19,2,4,1,0,A
2833,"DY SCI/AN SCI/FOOD SCI/SOIL SCI 473",104,58,16,19,2,4,1,0,A
2834,"DY SCI 534",47,33,7,6,1,0,0,0,A
2835,"DY SCI 535",328,302,12,11,0,0,0,0,A
2836,"DY SCI 681",0,0,0,0,0,0,0,0,N/A
2837,"DY SCI 682",0,0,0,0,0,0,0,0,N/A
2838,"DY SCI 699",68,67,1,0,0,0,0,0,A
2839,"DY SCI 799",6,5,0,0,0,0,0,0,A
2840,"DY SCI/AN SCI 824",22,10,6,4,1,0,0,0,A
2841,"DY SCI/AN SCI 825",17,8,6,3,0,0,0,0,A
2842,"DY SCI 875",430,328,53,34,7,2,0,0,A
2843,"DY SCI 900",632,610,5,11,0,0,0,0,A
2844,"DY SCI/AN SCI 931",51,29,15,7,0,0,0,0,A
2845,"DY SCI/AN SCI/GENETICS 951",45,42,1,2,0,0,0,0,A
2846,"DY SCI 990",84,0,0,0,0,0,0,0,N/A
2847,"DANCE 100",229,186,20,2,1,3,3,6,A
2848,"DANCE 101",399,352,19,20,1,1,1,1,A
2849,"DANCE 102",229,186,20,2,1,3,3,6,A
2850,"DANCE 103",101,87,6,5,0,0,0,0,A
2851,"DANCE 105",151,136,10,4,0,0,0,0,A
2852,"DANCE 106",77,68,6,3,0,0,0,0,A
2853,"DANCE 107",65,57,5,1,0,0,0,1,A
2854,"DANCE 108",29,27,0,1,0,1,0,0,A
2855,"DANCE 110",729,626,62,22,3,4,0,0,A
2856,"DANCE 111",695,501,127,34,14,4,1,3,A
2857,"DANCE 112",515,382,84,22,7,8,1,0,A
2858,"DANCE 115",114,112,1,0,0,1,0,0,A
2859,"DANCE 116",22,21,0,0,0,0,0,0,A
2860,"DANCE 118",1265,1148,42,36,12,6,2,2,A
2861,"DANCE/ASIAN AM 121",502,337,91,41,15,10,0,1,A
2862,"DANCE 125",378,241,74,36,8,5,0,0,A
2863,"DANCE 126",387,209,105,45,4,11,0,4,A
2864,"DANCE 131",231,177,29,12,0,5,0,1,A
2865,"DANCE 132",72,59,5,1,1,2,0,0,A
2866,"DANCE 133",217,183,6,5,2,2,0,5,A
2867,"DANCE 135",2399,1749,335,139,52,32,20,18,A
2868,"DANCE 136",146,115,18,6,0,0,0,1,A
2869,"DANCE 140",119,119,0,0,0,0,0,0,A
2870,"DANCE 156",276,226,33,8,2,1,0,1,A
2871,"DANCE 157",229,198,15,4,2,1,1,2,A
2872,"DANCE 159",97,72,19,3,1,0,2,0,A
2873,"DANCE 162",181,152,17,8,2,0,1,0,A
2874,"DANCE 165",510,317,100,59,14,10,5,0,A
2875,"DANCE 168",1252,923,156,86,22,30,7,13,A
2876,"DANCE 200",310,247,28,22,3,4,3,1,A
2877,"DANCE 205",93,44,26,19,1,3,0,0,A
2878,"DANCE 211",536,323,147,44,7,4,0,1,A
2879,"DANCE 212",412,272,96,25,6,2,2,1,A
2880,"DANCE 213",39,28,6,4,1,0,0,0,A
2881,"DANCE/THEATRE 218",12,12,0,0,0,0,0,0,A
2882,"DANCE 225",404,236,85,38,14,9,0,2,A
2883,"DANCE 226",302,178,69,26,5,8,1,0,A
2884,"DANCE 231",227,199,7,3,2,0,0,5,A
2885,"DANCE 232",114,96,7,5,0,3,0,0,A
2886,"DANCE 233",114,96,7,5,0,3,0,0,A
2887,"DANCE 235",151,105,25,9,4,2,1,1,A
2888,"DANCE 236",42,30,7,2,0,0,0,0,A
2889,"DANCE 237",151,105,25,9,4,2,1,1,A
2890,"DANCE 240",28,28,0,0,0,0,0,0,A
2891,"DANCE 241",139,108,19,9,2,0,0,0,A
2892,"DANCE 255",253,190,38,10,2,3,2,0,A
2893,"DANCE/THEATRE 259",215,188,13,5,1,1,1,0,A
2894,"DANCE 265",339,268,27,20,8,8,1,1,A
2895,"DANCE 268",1248,789,181,136,46,44,8,16,A
2896,"DANCE 311",302,227,58,11,1,1,0,1,A
2897,"DANCE 312",234,164,47,12,3,3,0,1,A
2898,"DANCE/AFROAMER/MUSIC 318",260,226,7,6,1,1,0,4,A
2899,"DANCE/AFROAMER/ASIAN AM/FOLKLORE 319",46,36,6,0,1,2,0,0,A
2900,"DANCE/FOLKLORE/THEATRE 321",15,14,1,0,0,0,0,0,A
2901,"DANCE 325",189,112,48,14,3,3,3,1,A
2902,"DANCE 326",94,60,21,7,2,0,0,0,A
2903,"DANCE 330",45,29,13,2,1,0,0,0,A
2904,"DANCE 331",77,61,3,3,1,1,0,1,A
2905,"DANCE 337",77,61,3,3,1,1,0,1,A
2906,"DANCE/ART 341",139,97,12,20,3,2,1,3,A
2907,"DANCE 345",10,10,0,0,0,0,0,0,A
2908,"DANCE 355",155,125,21,8,0,0,0,0,A
2909,"DANCE 365",157,115,18,11,5,0,1,0,A
2910,"DANCE 368",1252,923,156,86,22,30,7,13,A
2911,"DANCE 374",22,15,5,0,1,0,0,0,A
2912,"DANCE 375",37,36,1,0,0,0,0,0,A
2913,"DANCE 376",42,40,1,0,0,0,0,0,A
2914,"DANCE 399",92,74,12,0,1,0,0,2,A
2915,"DANCE/FOLKLORE/THEATRE 421",10,6,2,1,0,0,0,1,B
2916,"DANCE 431",43,40,0,1,0,1,0,0,A
2917,"DANCE/ART 441",6,3,3,0,0,0,0,0,A
2918,"DANCE 451",498,492,2,1,0,1,0,0,A
2919,"DANCE 452",142,142,0,0,0,0,0,0,A
2920,"DANCE 455",42,35,5,2,0,0,0,0,A
2921,"DANCE 462",103,87,7,4,1,2,0,1,A
2922,"DANCE 463",77,71,4,1,0,0,0,0,A
2923,"DANCE 469",353,256,50,19,8,3,3,1,A
2924,"DANCE 476",28,26,2,0,0,0,0,0,A
2925,"DANCE 560",704,559,70,40,3,4,1,3,A
2926,"DANCE 675",37,36,1,0,0,0,0,0,A
2927,"DANCE 699",11,11,0,0,0,0,0,0,A
2928,"DANCE 999",11,11,0,0,0,0,0,0,A
2929,"DERM 601",30,28,2,0,0,0,0,0,A
2930,"DERM 904",14,0,0,0,0,0,0,0,N/A
2931,"DERM 910",0,0,0,0,0,0,0,0,N/A
2932,"DERM 919",11,0,0,0,0,0,0,0,N/A
2933,"DERM 953",23,0,0,0,0,0,0,0,N/A
2934,"DERM 954",0,0,0,0,0,0,0,0,N/A
2935,"DERM 955",23,0,0,0,0,0,0,0,N/A
2936,"DS 101",313,237,46,18,4,1,4,0,A
2937,"DS 120",2731,900,766,666,180,121,35,34,B
2938,"DS 123",421,220,137,39,5,7,2,3,A
2939,"DS 130",286,183,65,22,6,3,2,0,A
2940,"DS 140",148,44,54,24,11,5,2,6,B
2941,"DS 150",57,27,13,6,5,3,2,1,B
2942,"DS 153",626,282,155,138,24,11,2,3,A
2943,"DS 154",363,178,94,68,9,8,3,1,A
2944,"DS 210",325,150,82,57,10,13,3,4,B
2945,"DS 215",59,24,24,7,0,3,0,0,A
2946,"DS 220",600,288,201,74,19,8,1,4,A
2947,"DS 221",1727,575,344,410,181,116,71,18,B
2948,"DS 222",540,309,158,61,2,2,0,0,A
2949,"DS 223",534,207,183,109,24,9,0,0,A
2950,"DS 224",260,203,45,10,1,0,0,0,A
2951,"DS 225",229,132,59,28,3,2,2,0,A
2952,"DS/ART 226",60,37,15,5,2,1,0,0,A
2953,"DS 227",171,89,58,16,1,4,1,1,A
2954,"DS 228",193,146,24,11,2,3,1,0,A
2955,"DS/ART 229",223,149,47,20,1,0,1,0,A
2956,"DS/GEN BUS 240",425,131,109,99,42,31,7,4,B
2957,"DS 241",257,187,40,18,7,0,0,2,A
2958,"DS 242",228,170,39,11,2,2,0,2,A
2959,"DS 251",739,148,176,191,137,57,10,4,B
2960,"DS 252",798,622,82,38,31,13,8,4,A
2961,"DS 253",289,102,80,81,6,9,3,2,B
2962,"DS/ANTHRO/ART HIST/HISTORY/LAND ARC 264",301,105,89,39,9,9,3,2,B
2963,"DS 270",104,86,4,6,3,2,0,1,A
2964,"DS 299",0,0,0,0,0,0,0,0,N/A
2965,"DS 319",114,64,31,13,2,2,0,0,A
2966,"DS 321",61,57,3,1,0,0,0,0,A
2967,"DS 322",508,242,160,83,8,10,1,0,A
2968,"DS 327",203,120,56,18,2,1,0,2,A
2969,"DS 341",361,314,35,6,4,2,0,0,A
2970,"DS 355",481,263,83,70,15,25,3,3,A
2971,"DS 361",899,228,70,290,59,182,47,6,BC
2972,"DS/ART HIST 363",276,68,70,76,26,20,6,2,B
2973,"DS 401",6,3,3,0,0,0,0,0,A
2974,"DS 402",1062,704,279,70,6,1,0,0,A
2975,"DS 403",260,71,85,44,33,18,6,2,B
2976,"DS 404",2045,1218,522,161,65,30,14,21,A
2977,"DS 405",40,25,9,5,1,0,0,0,A
2978,"DS 406",23,11,6,2,0,1,0,1,B
2979,"DS 407",22,19,2,1,0,0,0,0,A
2980,"DS 421",445,257,68,66,20,12,6,7,A
2981,"DS 422",321,217,55,21,7,3,1,1,A
2982,"DS 427",22,19,2,1,0,0,0,0,A
2983,"DS 428",24,14,5,3,1,0,0,0,A
2984,"DS 429",68,57,8,0,0,1,0,1,A
2985,"DS 430",373,213,64,39,14,16,5,1,A
2986,"DS 451",633,236,197,104,51,22,8,4,B
2987,"DS 501",7992,5838,1122,592,197,109,35,29,A
2988,"DS/COMP SCI/I SY E 518",79,59,8,4,2,4,1,0,A
2989,"DS 519",33,21,6,4,0,1,0,0,A
2990,"DS 521",61,57,3,1,0,0,0,0,A
2991,"DS 527",62,44,13,1,2,1,0,0,A
2992,"DS 528",111,91,7,6,1,3,2,1,A
2993,"DS 529",55,48,5,2,0,0,0,0,A
2994,"DS 549",96,28,18,24,4,10,1,0,B
2995,"DS 561",406,141,141,74,36,12,1,0,B
2996,"DS 570",28,23,2,3,0,0,0,0,A
2997,"DS/COMP SCI 579",386,280,52,38,4,6,2,2,A
2998,"DS 601",763,632,72,25,11,12,4,1,A
2999,"DS 620",8,8,0,0,0,0,0,0,A
3000,"DS 622",515,239,209,44,9,4,1,3,A
3001,"DS 623",421,220,137,39,5,7,2,3,A
3002,"DS 624",426,238,137,46,1,1,0,1,A
3003,"DS 626",107,77,15,14,0,1,0,0,A
3004,"DS/LAND ARC 639",84,61,13,5,1,1,1,0,A
3005,"DS 641",24,21,3,0,0,0,0,0,A
3006,"DS 642",25,14,8,0,0,0,0,0,A
3007,"DS 679",0,0,0,0,0,0,0,0,N/A
3008,"DS 680",83,75,5,2,0,1,0,0,A
3009,"DS 690",43,35,1,4,0,2,0,1,A
3010,"DS 699",176,144,17,2,0,0,0,0,A
3011,"DS/ANTHRO/ART HIST/HISTORY/LAND ARC 764",16,14,0,0,0,0,0,0,A
3012,"DS 920",95,78,7,6,2,0,0,1,A
3013,"DS/F&W ECOL/URB R PL 955",19,16,2,1,0,0,0,0,A
3014,"DS 990",4,0,0,0,0,0,0,0,N/A
3015,"DS 999",30,21,2,0,0,0,0,0,A
3016,"ECON 100",750,265,210,120,74,52,13,7,B
3017,"ECON 101",46137,9466,10737,10895,7364,5258,1384,463,B
3018,"ECON 102",23412,4303,5193,5646,4168,2970,689,169,BC
3019,"ECON 109",46137,9466,10737,10895,7364,5258,1384,463,B
3020,"ECON 111",731,265,170,150,78,42,11,2,B
3021,"ECON 205",96,26,28,17,10,7,4,3,B
3022,"ECON 228",7,0,0,0,0,0,0,0,N/A
3023,"ECON 299",0,0,0,0,0,0,0,0,N/A
3024,"ECON/FINANCE 300",14983,3116,2481,4131,2197,2303,303,190,BC
3025,"ECON 301",10878,2365,2238,2463,1836,1242,476,138,BC
3026,"ECON 302",10381,2277,2602,2540,1393,1027,306,118,B
3027,"ECON/HIST SCI 305",277,68,49,87,28,18,2,0,B
3028,"ECON/A A E/REAL EST/URB R PL 306",8903,2832,1786,2288,937,743,176,38,B
3029,"ECON 309",1552,515,353,362,162,92,22,10,B
3030,"ECON 310",7239,1572,1441,1724,1197,931,163,100,B
3031,"ECON 311",501,244,127,86,20,14,1,1,A
3032,"ECON 312",371,171,108,63,16,6,0,3,A
3033,"ECON 315",127,63,27,27,4,3,2,1,A
3034,"ECON/FINANCE 320",5945,1689,1466,1736,647,267,59,11,B
3035,"ECON 321",10878,2365,2238,2463,1836,1242,476,138,BC
3036,"ECON 330",5064,721,939,1069,1250,746,245,28,BC
3037,"ECON/A A E/ENVIR ST 343",2930,689,509,736,366,397,117,66,BC
3038,"ECON 355",23,11,4,4,3,0,0,0,A
3039,"ECON 370",187,66,43,24,27,9,5,4,B
3040,"ECON/A A E 371",182,54,51,53,17,4,1,1,B
3041,"ECON 390",1552,515,353,362,162,92,22,10,B
3042,"ECON 400",973,229,207,186,179,123,18,6,B
3043,"ECON 409",973,229,207,186,179,123,18,6,B
3044,"ECON 410",3269,744,697,724,573,323,96,56,B
3045,"ECON/REAL EST/URB R PL 420",2937,935,918,668,246,99,24,14,B
3046,"ECON/A A E 421",637,144,133,127,81,77,44,16,BC
3047,"ECON 435",371,128,69,117,28,11,5,6,B
3048,"ECON 441",1323,347,329,300,179,113,26,13,B
3049,"ECON 442",250,92,49,79,19,7,1,1,B
3050,"ECON 448",494,84,66,189,76,55,13,5,BC
3051,"ECON 450",2133,339,507,592,367,236,58,23,BC
3052,"ECON 451",174,31,31,61,30,19,1,0,B
3053,"ECON 455",1433,532,299,365,108,80,30,4,B
3054,"ECON 458",974,558,243,132,14,12,0,0,A
3055,"ECON 460",257,92,101,43,10,4,1,0,A
3056,"ECON 461",328,71,65,74,66,42,3,5,B
3057,"ECON/A A E/INTL BUS 462",541,273,125,81,28,12,8,7,A
3058,"ECON 464",2882,583,480,899,426,335,59,53,BC
3059,"ECON 465",236,59,83,46,19,5,0,3,B
3060,"ECON/HISTORY 466",185,48,43,62,5,9,0,0,B
3061,"ECON 467",1289,288,198,401,194,133,32,32,BC
3062,"ECON 468",892,258,189,202,105,91,14,25,B
3063,"ECON/A A E 473",314,105,65,63,37,19,7,6,B
3064,"ECON/A A E 474",908,393,193,151,74,63,15,7,B
3065,"ECON 475",582,224,108,138,53,36,2,4,B
3066,"ECON/A A E 477",426,142,110,87,34,20,14,11,B
3067,"ECON/FINANCE 503",342,303,18,16,0,4,0,1,A
3068,"ECON 521",1413,404,279,393,154,116,30,14,B
3069,"ECON 522",2507,549,469,809,352,259,40,22,B
3070,"ECON/PHILOS 524",146,56,40,23,14,4,2,2,B
3071,"ECON/A A E 526",78,24,20,11,7,7,1,0,B
3072,"ECON/R M I 530",117,45,34,25,8,4,0,1,B
3073,"ECON/A A E/F&W ECOL 531",265,74,73,73,19,19,1,0,B
3074,"ECON/POP HLTH/PUB AFFR 548",844,202,259,255,74,34,3,1,B
3075,"ECON 570",385,262,84,37,0,0,0,0,A
3076,"ECON 580",151,111,18,17,3,1,0,1,A
3077,"ECON 581",1,1,0,0,0,0,0,0,A
3078,"ECON 621",637,144,133,127,81,77,44,16,BC
3079,"ECON 623",104,28,28,27,9,10,0,0,B
3080,"ECON/REAL EST/URB R PL 641",6,6,0,0,0,0,0,0,A
3081,"ECON 661",58,34,7,9,3,3,0,1,A
3082,"ECON/SOC 663",402,152,115,83,30,11,3,4,B
3083,"ECON 664",18,11,4,2,0,1,0,0,A
3084,"ECON 666",331,137,53,74,28,28,2,6,B
3085,"ECON/A A E/ENVIR ST/URB R PL 671",505,240,104,83,25,33,6,1,B
3086,"ECON 681",0,0,0,0,0,0,0,0,N/A
3087,"ECON 682",3,2,0,0,0,0,0,0,A
3088,"ECON 690",636,316,206,73,16,14,0,2,A
3089,"ECON 691",0,0,0,0,0,0,0,0,N/A
3090,"ECON 692",0,0,0,0,0,0,0,0,N/A
3091,"ECON 695",212,123,42,31,10,4,1,0,A
3092,"ECON 698",1,0,0,0,0,0,0,0,N/A
3093,"ECON 699",50,50,0,0,0,0,0,0,A
3094,"ECON 700",875,426,239,180,20,2,0,1,A
3095,"ECON 701",990,456,370,146,5,2,1,0,A
3096,"ECON 702",815,288,284,189,15,12,1,3,A
3097,"ECON 703",629,347,152,90,15,4,1,0,A
3098,"ECON 704",1078,394,309,344,15,7,1,1,B
3099,"ECON 705",861,273,303,259,4,0,1,2,B
3100,"ECON 706",800,440,270,80,4,1,1,1,A
3101,"ECON 708",854,387,264,173,13,4,0,0,A
3102,"ECON 709",983,279,310,361,17,5,0,4,B
3103,"ECON 710",712,193,232,234,42,4,0,0,B
3104,"ECON 711",1038,244,254,449,57,21,2,1,B
3105,"ECON 712",797,222,246,232,66,20,0,4,B
3106,"ECON 713",671,150,150,302,45,10,0,3,B
3107,"ECON 714",514,153,173,152,28,5,0,1,B
3108,"ECON 715",317,219,70,21,0,1,0,0,A
3109,"ECON 716",100,84,12,2,0,0,0,0,A
3110,"ECON 717",105,78,20,3,0,0,0,0,A
3111,"ECON 718",224,105,81,27,1,0,0,0,A
3112,"ECON 719",34,24,7,0,0,0,0,0,A
3113,"ECON 721",43,23,8,8,2,2,0,0,A
3114,"ECON 724",42,23,17,0,0,1,0,1,A
3115,"ECON 725",140,62,57,20,1,0,0,0,A
3116,"ECON 730",52,35,9,6,0,1,0,0,A
3117,"ECON/PUB AFFR/URB R PL 734",82,17,31,31,2,0,0,0,B
3118,"ECON 735",177,171,1,4,0,0,0,0,A
3119,"ECON 736",37,37,0,0,0,0,0,0,A
3120,"ECON 741",197,152,21,4,0,0,0,0,A
3121,"ECON 742",82,57,14,6,0,0,0,0,A
3122,"ECON/A A E 747",15,14,0,0,0,0,0,0,A
3123,"ECON 750",208,101,70,30,1,1,0,0,A
3124,"ECON 751",156,94,26,14,0,0,0,0,A
3125,"ECON 761",237,176,37,13,3,0,0,0,A
3126,"ECON 762",73,49,14,4,0,1,0,0,A
3127,"ECON 770",249,148,86,15,0,0,0,0,A
3128,"ECON/GEN BUS/STAT 775",366,223,79,37,2,4,0,0,A
3129,"ECON 805",117,68,25,7,0,0,1,0,A
3130,"ECON 806",81,57,15,3,1,0,0,0,A
3131,"ECON 809",15,9,3,0,0,0,0,0,A
3132,"ECON 810",53,51,2,0,0,0,0,0,A
3133,"ECON/URB R PL 845",66,46,19,1,0,0,0,0,A
3134,"ECON/POP HLTH 848",90,66,21,0,0,0,0,0,A
3135,"ECON 871",115,92,13,8,0,0,0,0,A
3136,"ECON 872",96,51,24,13,1,1,0,1,A
3137,"ECON 873",7,7,0,0,0,0,0,0,A
3138,"ECON 899",627,464,91,31,1,3,0,0,A
3139,"ECON 901",226,220,0,0,0,0,0,0,A
