block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
COMP BIO 556,1333,422,327,416,93,69,2,0,B
COMP BIO 675,302,37,74,105,15,8,0,0,B
COMP BIO 699,43,40,2,0,0,0,0,0,A
COMP BIO 775,4748,2,0,0,0,0,0,0,A
COMP BIO 990,23,0,0,0,0,0,0,0,
COMP LIT 201,844,279,386,89,62,16,4,4,B
COMP LIT 202,1572,594,606,239,70,35,2,11,A
COMP LIT 203,4147,1387,1571,775,211,83,34,38,B
COMP LIT 350,436,269,103,32,5,1,2,3,A
COMP LIT 358,225,128,49,24,8,0,1,3,A
COMP LIT 370,90,55,20,11,0,1,1,1,A
COMP LIT 475,246,117,71,38,6,2,0,6,A
COMP LIT 500,171,84,45,26,3,1,0,1,A
COMP LIT 699,24,21,1,2,0,0,0,0,A
COMP LIT 750,13,11,1,0,0,0,0,0,A
COMP LIT 990,138,0,0,0,0,0,0,0,
COMP SCI/L I S 102,119,98,8,5,4,2,0,2,A
COMP SCI 200,7598,2811,1365,1510,702,610,266,197,B
COMP SCI 220,5246,2309,1469,933,192,111,78,67,B
COMP SCI/MATH 240,8885,2295,1314,2686,1186,733,275,170,B
COMP SCI/E C E 252,12001,4840,2382,2001,1054,1064,281,214,B
COMP SCI 270,39,20,7,7,2,1,0,0,A
COMP SCI 298,34,0,0,0,0,0,0,0,
COMP SCI 300,8049,2920,1968,1873,522,233,193,147,B
COMP SCI 304,1042,982,20,19,6,6,1,8,A
COMP SCI 310,3591,851,610,1362,369,223,47,40,B
COMP SCI 319,171,121,42,4,0,0,0,0,A
COMP SCI 320,2102,822,534,426,143,52,37,42,B
COMP SCI/E C E 352,4698,1080,1186,1046,694,430,151,91,B
COMP SCI/E C E 354,8855,2646,1640,1947,1075,882,260,218,B
COMP SCI 368,678,0,0,0,0,0,0,0,
COMP SCI 400,6376,2259,1351,1750,492,207,138,55,B
COMP SCI 402,678,639,20,9,0,6,1,0,A
COMP SCI/STAT 403,77,53,19,2,2,0,1,0,A
COMP SCI 407,1154,609,300,157,46,9,13,2,A
COMP SCI 412,1637,421,332,332,191,208,73,63,BC
COMP SCI/I SY E/MATH 425,295,91,58,63,30,38,10,4,B
COMP SCI/E C E/MATH 435,2534,710,424,641,262,264,106,51,B
COMP SCI/STAT 471,184,82,41,33,14,7,3,2,B
COMP SCI/MATH/STAT 475,2132,729,258,494,164,277,83,54,B
COMP SCI/CURRIC 502,166,160,4,1,0,1,0,0,A
COMP SCI/E C E 506,1880,783,449,357,127,98,30,13,B
COMP SCI/MATH 513,484,160,82,69,55,53,24,12,B
COMP SCI/MATH 514,780,234,134,166,97,86,39,18,B
COMP SCI/DS/I SY E 518,79,59,8,4,2,4,1,0,A
COMP SCI 520,808,196,165,188,102,104,26,18,B
COMP SCI/E C E/I SY E 524,1296,515,341,203,107,63,30,14,B
COMP SCI/I SY E/MATH/STAT 525,1842,549,273,373,194,227,125,56,BC
COMP SCI/I SY E 526,16,4,8,0,0,0,0,2,B
COMP SCI/E C E/M E 532,1801,868,439,284,99,40,6,8,A
COMP SCI/E C E 533,698,363,186,96,14,16,5,11,A
COMP SCI 534,443,170,105,80,33,27,14,11,B
COMP SCI 536,2456,716,563,484,264,214,92,87,B
COMP SCI 537,6256,2527,1510,1058,514,358,97,92,B
COMP SCI 538,367,159,61,59,16,34,9,11,B
COMP SCI/E C E/M E 539,697,154,243,196,45,18,6,10,B
COMP SCI 540,6975,2323,1520,1458,777,506,145,106,B
COMP SCI 542,219,139,27,29,9,8,4,2,A
COMP SCI 544,360,165,88,78,21,4,3,1,A
COMP SCI 545,77,49,20,7,0,0,0,0,A
COMP SCI/E C E 552,2088,762,483,416,231,100,38,31,B
COMP SCI/I SY E/M E 558,47,27,12,3,1,1,0,2,A
COMP SCI 559,2457,701,676,570,210,116,52,46,B
COMP SCI/E C E 561,159,79,40,27,7,2,1,0,A
COMP SCI 564,4032,1442,847,900,409,264,60,30,B
COMP SCI 565,235,136,57,20,8,2,5,2,A
COMP SCI 566,2456,716,563,484,264,214,92,87,B
COMP SCI/B M I 567,118,64,29,5,2,6,2,1,A
COMP SCI 570,1574,1022,318,141,42,21,3,9,A
COMP SCI 571,786,448,163,106,31,27,6,0,A
COMP SCI/B M I 576,914,380,206,120,54,59,40,12,B
COMP SCI 577,7011,1899,996,2048,970,663,212,99,B
COMP SCI 578,35,27,0,3,0,4,0,0,A
COMP SCI/DS 579,386,280,52,38,4,6,2,2,A
COMP SCI/L I S 611,171,150,11,5,0,0,0,2,A
COMP SCI/L I S 612,91,71,11,3,0,1,0,0,A
COMP SCI/L I S 613,13,11,2,0,0,0,0,0,A
COMP SCI/L I S 614,13,11,2,0,0,0,0,0,A
COMP SCI/I SY E 635,309,140,84,53,16,9,0,3,A
COMP SCI 638,1265,690,190,215,71,30,2,6,A
COMP SCI 639,1629,839,320,218,93,68,21,10,A
COMP SCI 640,2211,794,569,428,182,146,40,11,B
COMP SCI 642,882,344,222,166,52,43,15,10,B
COMP SCI 681,5,0,0,0,0,0,0,0,
COMP SCI 682,4,4,0,0,0,0,0,0,A
COMP SCI 691,0,0,0,0,0,0,0,0,
COMP SCI 692,0,0,0,0,0,0,0,0,
COMP SCI 698,261,233,11,5,2,1,0,0,A
COMP SCI 699,261,233,11,5,2,1,0,0,A
COMP SCI 701,247,146,71,14,4,2,0,2,A
COMP SCI 702,18,0,0,0,0,0,0,0,
COMP SCI 703,130,79,37,12,0,1,0,0,A
COMP SCI 704,186,108,55,11,3,0,0,1,A
COMP SCI 706,172,107,34,19,4,3,1,1,A
COMP SCI/E C E 707,302,191,76,28,0,2,1,0,A
COMP SCI 710,146,84,43,13,2,0,0,0,A
COMP SCI/MATH 714,505,357,65,58,5,7,1,4,A
COMP SCI/MATH 715,342,246,60,24,5,3,0,0,A
COMP SCI/I SY E 719,190,131,25,12,4,0,0,0,A
COMP SCI/I SY E 723,119,80,18,10,1,1,0,0,A
COMP SCI/I SY E/MATH/STAT 726,735,246,223,158,44,30,1,5,B
COMP SCI/I SY E 727,119,104,5,3,1,1,0,1,A
COMP SCI/I SY E/MATH 728,166,80,42,23,12,1,0,0,A
COMP SCI/I SY E/MATH 730,148,62,46,32,3,1,0,1,A
COMP SCI 736,633,397,168,52,5,1,0,0,A
COMP SCI 739,539,361,135,34,0,1,0,0,A
COMP SCI 740,326,224,64,19,9,7,0,1,A
COMP SCI 744,490,435,35,8,1,1,0,0,A
COMP SCI/E C E 750,104,49,32,22,1,0,0,0,A
COMP SCI/E C E 752,643,284,203,110,16,5,0,4,A
COMP SCI/E C E 755,149,77,36,26,7,0,0,0,A
COMP SCI/E C E 756,89,53,23,7,3,1,0,0,A
COMP SCI/E C E 757,362,164,124,56,2,1,1,0,A
COMP SCI 758,139,83,32,16,0,0,1,0,A
COMP SCI/E C E/E M A/E P/M E 759,617,506,59,16,5,1,0,0,A
COMP SCI/E C E 760,1934,1030,598,218,18,14,3,8,A
COMP SCI/E C E 761,573,245,180,85,9,10,0,0,A
COMP SCI 762,116,97,15,3,0,0,0,0,A
COMP SCI 763,60,29,15,13,2,0,0,0,A
COMP SCI 764,669,426,164,59,12,1,1,1,A
COMP SCI 765,357,149,149,48,4,2,2,1,A
COMP SCI/E C E 766,601,469,93,23,8,2,0,2,A
COMP SCI/B M I 767,24,14,4,2,0,0,0,0,A
COMP SCI 769,298,208,69,12,2,1,0,0,A
COMP SCI/ED PSYCH/PSYCH 770,399,241,122,32,3,0,0,0,A
COMP SCI/B M I 771,82,66,14,1,0,0,0,0,A
COMP SCI/B M I 775,45,22,18,4,0,0,0,0,A
COMP SCI/B M I 776,202,117,51,24,1,2,1,3,A
COMP SCI/E C E 782,56,50,5,0,0,0,0,0,A
COMP SCI 784,480,296,125,50,2,4,0,0,A
COMP SCI 787,404,222,105,53,3,1,0,1,A
COMP SCI 790,9,0,0,0,0,0,0,0,
COMP SCI 799,1353,0,0,0,0,0,0,0,
COMP SCI 809,26,13,9,2,0,0,0,0,A
COMP SCI 812,49,30,11,3,0,0,1,0,A
COMP SCI 838,986,697,173,43,2,3,0,0,A
COMP SCI 839,1037,857,139,24,1,0,0,1,A
COMP SCI/B M I/PSYCH 841,138,47,32,5,0,1,0,1,A
COMP SCI/E C E/STAT 861,140,89,41,7,0,0,0,0,A
COMP SCI 880,260,176,56,10,2,1,1,1,A
COMP SCI 899,156,0,0,0,0,0,0,0,
COMP SCI 900,873,858,0,0,0,0,0,2,A
COMP SCI/B M E/B M I/BIOCHEM/CBE/GENETICS 915,262,95,2,0,0,0,0,0,A
COMP SCI 990,44,0,0,0,0,0,0,0,
COMP SCI 999,1,0,0,0,0,0,0,0,
CNSR SCI 111,2049,1749,180,53,28,11,7,10,A
CNSR SCI/RELIG ST 173,1511,834,356,162,63,32,11,5,A
CNSR SCI 201,1918,1164,423,169,91,37,14,2,A
CNSR SCI 250,3180,2613,218,188,54,49,24,16,A
CNSR SCI 251,1503,1179,136,88,36,25,10,22,A
CNSR SCI 255,134,29,50,26,18,9,0,2,B
CNSR SCI 257,2033,1415,344,137,67,38,11,14,A
CNSR SCI 273,310,165,90,37,12,3,1,1,A
CNSR SCI 275,6346,2327,1859,1143,527,292,79,40,B
CNSR SCI 299,0,0,0,0,0,0,0,0,
CNSR SCI 301,694,249,255,95,58,17,7,3,B
CNSR SCI 321,2636,2250,208,63,52,31,8,9,A
CNSR SCI 340,271,190,56,9,5,4,1,2,A
CNSR SCI 355,523,285,153,50,22,10,1,0,A
CNSR SCI 360,600,245,134,123,46,31,11,7,B
CNSR SCI 390,600,245,134,123,46,31,11,7,B
CNSR SCI/HDFS 465,117,57,27,21,6,5,1,0,A
CNSR SCI 475,444,140,105,88,66,32,8,4,B
CNSR SCI 477,2095,540,696,452,240,124,24,11,B
CNSR SCI 501,7992,5838,1122,592,197,109,35,29,A
CNSR SCI 527,35,10,14,6,4,1,0,0,B
CNSR SCI 555,1462,765,481,154,38,14,6,0,A
CNSR SCI 560,205,80,72,33,14,5,1,0,B
CNSR SCI 561,895,546,230,72,30,11,2,2,A
CNSR SCI 562,989,487,345,105,32,11,3,1,A
CNSR SCI 564,1600,590,414,274,140,104,51,6,B
CNSR SCI 567,755,486,167,57,18,16,3,1,A
CNSR SCI 575,151,42,53,28,15,9,2,1,B
CNSR SCI 579,335,56,107,77,63,24,6,1,B
CNSR SCI 601,763,632,72,25,11,12,4,1,A
CNSR SCI 603,398,297,50,23,16,2,3,0,A
CNSR SCI 627,989,247,290,197,153,75,19,7,B
CNSR SCI 635,738,188,234,156,96,40,7,2,B
CNSR SCI 657,3030,1327,914,512,177,60,20,8,A
CNSR SCI 665,676,251,194,112,68,25,7,3,B
CNSR SCI 675,771,229,299,130,79,15,12,2,B
CNSR SCI 680,0,0,0,0,0,0,0,0,
CNSR SCI 699,171,162,5,4,0,0,0,0,A
CNSR SCI 888,33,23,8,1,0,0,0,0,A
CNSR SCI 901,183,145,23,8,2,0,0,0,A
CNSR SCI 930,42,33,7,0,0,0,0,0,A
CNSR SCI 990,8,0,0,0,0,0,0,0,
CNSR SCI 999,4,1,1,0,0,0,0,0,A
COUN PSY 101,1106,1015,50,20,6,6,1,5,A
COUN PSY 105,1106,1015,50,20,6,6,1,5,A
COUN PSY 110,1537,1288,116,61,24,24,4,9,A
COUN PSY 115,9326,7433,859,441,188,142,74,129,A
COUN PSY/ASIAN/ED PSYCH/PSYCH 120,955,511,287,93,32,17,6,7,A
COUN PSY 125,6356,5431,548,189,61,46,20,33,A
COUN PSY 200,131,105,14,5,1,2,0,1,A
COUN PSY 225,2855,2290,318,101,63,38,13,3,A
COUN PSY 230,131,105,14,5,1,2,0,1,A
COUN PSY 237,991,898,45,26,4,1,2,7,A
COUN PSY 300,515,431,48,15,3,5,0,2,A
COUN PSY 325,485,372,69,34,5,2,0,0,A
COUN PSY 332,14,11,1,2,0,0,0,0,A
COUN PSY 333,115,82,13,4,0,2,0,0,A
COUN PSY/ELPA 350,107,100,2,2,0,2,0,1,A
COUN PSY 372,14,11,1,2,0,0,0,0,A
COUN PSY 500,8,8,0,0,0,0,0,0,A
COUN PSY/CHICLA 525,97,66,15,6,0,0,0,2,A
COUN PSY 531,240,221,12,4,2,0,0,0,A
COUN PSY 550,8,8,0,0,0,0,0,0,A
COUN PSY 575,8,7,0,0,0,0,0,0,A
COUN PSY 580,8,7,0,0,1,0,0,0,A
COUN PSY 601,45,44,1,0,0,0,0,0,A
COUN PSY 620,1026,939,35,26,2,4,1,2,A
COUN PSY 650,2588,1963,351,151,65,30,5,14,A
COUN PSY 655,967,768,100,46,24,12,6,5,A
COUN PSY 665,76,59,13,0,3,0,0,1,A
COUN PSY 699,195,188,5,0,0,0,0,0,A
COUN PSY 700,86,86,0,0,0,0,0,0,A
COUN PSY/CURRIC/ED POL/ED PSYCH/ELPA/RP & SE 719,538,487,32,3,1,0,0,0,A
COUN PSY/ED PSYCH 723,73,70,0,1,0,0,0,0,A
COUN PSY/ED PSYCH/HDFS 726,54,53,1,0,0,0,0,0,A
COUN PSY/PSYCH/RP & SE 729,33,30,2,1,0,0,0,0,A
COUN PSY/RP & SE 730,245,237,7,0,0,0,0,0,A
COUN PSY/ED PSYCH/RP & SE 736,96,87,4,1,0,0,0,0,A
COUN PSY/ED PSYCH/RP & SE 737,57,50,5,0,0,0,0,0,A
COUN PSY 740,154,137,15,1,0,0,0,0,A
COUN PSY 745,62,61,1,0,0,0,0,0,A
COUN PSY 755,13,8,0,0,0,0,0,0,A
COUN PSY 777,6,0,0,0,0,0,0,0,
COUN PSY/CURRIC/ED POL/ED PSYCH/ELPA/RP & SE 788,219,193,3,3,0,0,0,0,A
COUN PSY/CURRIC/ED POL/ED PSYCH/ELPA/RP & SE 789,144,129,3,1,0,0,1,0,A
COUN PSY 791,176,169,4,1,0,0,0,0,A
COUN PSY 800,294,253,30,8,0,0,0,1,A
COUN PSY 801,141,105,23,8,1,0,0,0,A
COUN PSY 802,207,189,15,2,0,0,0,0,A
COUN PSY 804,228,211,11,4,0,0,0,0,A
COUN PSY 805,280,246,21,11,2,0,0,0,A
COUN PSY 806,228,211,11,4,0,0,0,0,A
COUN PSY 808,274,256,3,0,0,0,0,0,A
COUN PSY 810,198,191,0,0,0,0,0,0,A
COUN PSY 825,363,333,19,8,0,0,0,0,A
COUN PSY 850,74,54,10,3,0,0,0,0,A
COUN PSY 860,380,366,12,1,0,0,0,0,A
COUN PSY 865,185,159,22,3,0,0,0,0,A
COUN PSY 890,86,75,7,2,0,0,0,0,A
COUN PSY 900,9,0,0,0,0,0,0,0,
COUN PSY 901,1,0,0,0,0,0,0,0,
COUN PSY 902,7,0,0,0,0,0,0,0,
COUN PSY 903,8,0,0,0,0,0,0,0,
COUN PSY 904,20,0,0,0,0,0,0,0,
COUN PSY 905,0,0,0,0,0,0,0,0,
COUN PSY 908,9,0,0,0,0,0,0,0,
COUN PSY/RP & SE 925,63,55,6,0,0,0,0,0,A
COUN PSY 926,57,49,5,1,0,0,0,0,A
COUN PSY 950,122,102,16,1,1,0,0,0,A
COUN PSY 951,108,94,10,0,0,0,0,0,A
COUN PSY 954,13,13,0,0,0,0,0,0,A
COUN PSY 956,44,40,3,0,0,0,0,0,A
COUN PSY 960,127,97,18,7,2,0,0,0,A
COUN PSY 990,410,0,0,0,0,0,0,0,
COUN PSY/ED PSYCH/PSYCH/RP & SE 995,0,0,0,0,0,0,0,0,
COUN PSY 999,0,0,0,0,0,0,0,0,
CURRIC 209,293,274,12,2,2,2,0,1,A
CURRIC 240,1145,1065,33,19,6,5,1,3,A
CURRIC 243,0,0,0,0,0,0,0,0,
CURRIC 276,84,75,3,5,0,0,0,0,A
CURRIC 277,3325,2678,374,135,39,31,11,26,A
CURRIC 292,77,59,8,6,2,1,0,0,A
CURRIC/MUSIC 300,51,45,5,1,0,0,0,0,A
CURRIC/MUSIC 301,41,35,5,1,0,0,0,0,A
CURRIC/MUSIC 302,36,35,0,1,0,0,0,0,A
CURRIC/MUSIC 304,40,39,0,0,0,1,0,0,A
CURRIC 305,902,825,53,14,3,2,1,1,A
CURRIC/CHICLA 306,24,14,4,2,0,0,0,0,A
CURRIC 309,267,243,16,4,1,2,0,1,A
CURRIC 311,552,468,68,10,3,0,1,1,A
CURRIC 312,424,380,27,12,2,1,0,0,A
CURRIC 314,207,176,22,5,2,1,0,0,A
CURRIC 315,223,207,11,4,1,0,0,0,A
CURRIC 316,240,221,10,4,1,1,2,0,A
CURRIC 317,219,203,9,2,1,2,0,1,A
CURRIC 318,331,323,5,2,0,0,0,0,A
CURRIC 319,318,239,49,22,2,2,0,1,A
CURRIC 320,224,169,26,22,2,2,1,0,A
CURRIC/CHICLA 321,39,24,10,1,1,0,0,0,A
CURRIC 325,227,181,38,6,0,0,0,0,A
CURRIC 326,207,187,16,2,1,0,0,0,A
CURRIC 327,215,178,24,9,2,1,0,0,A
CURRIC 328,282,272,3,2,1,2,0,0,A
CURRIC 329,16,16,0,0,0,0,0,0,A
CURRIC 331,57,51,1,0,0,0,0,0,A
CURRIC 332,26,23,0,2,0,1,0,0,A
CURRIC/MUSIC 337,253,238,8,7,0,0,0,0,A
CURRIC 338,231,191,26,10,4,0,0,0,A
CURRIC 339,443,414,21,3,0,0,0,2,A
CURRIC 340,11,0,0,0,0,0,0,0,
CURRIC 342,134,121,10,1,1,0,0,1,A
CURRIC 343,113,102,4,2,1,0,0,0,A
CURRIC/MUSIC 344,10,9,0,0,0,0,0,0,A
CURRIC 357,401,307,65,22,3,3,0,0,A
CURRIC 359,309,285,19,4,0,0,0,0,A
CURRIC/SLAVIC/THEATRE 362,1045,983,32,16,5,1,2,2,A
CURRIC 363,0,0,0,0,0,0,0,0,
CURRIC 364,1056,975,60,15,2,2,0,1,A
CURRIC/RP & SE 365,409,356,26,15,2,4,0,1,A
CURRIC 366,46,30,6,5,0,1,1,0,A
CURRIC 367,81,0,0,0,0,0,0,0,
CURRIC 368,1083,965,65,33,10,4,1,0,A
CURRIC 369,1097,1012,41,29,5,3,1,0,A
CURRIC 370,1574,1425,108,25,6,2,0,0,A
CURRIC 371,1762,1638,80,23,8,3,1,1,A
CURRIC 372,1745,1526,145,43,10,9,2,1,A
CURRIC 373,15,0,0,0,0,0,0,0,
CURRIC 374,277,242,24,7,1,0,0,0,A
CURRIC 375,1336,1046,164,64,19,12,8,5,A
CURRIC 390,213,172,26,7,0,0,0,0,A
CURRIC 393,170,129,31,5,1,0,0,0,A
CURRIC 394,177,143,24,8,0,0,0,1,A
CURRIC 396,263,236,9,13,0,0,0,0,A
CURRIC 399,189,171,5,7,1,3,0,1,A
CURRIC/C&E SOC/ENVIR ST 405,147,110,12,17,4,2,0,0,A
CURRIC/RP & SE 406,248,237,10,1,0,0,0,0,A
CURRIC/MUSIC 409,1,0,0,0,0,0,0,0,
CURRIC/MUSIC 410,3,0,0,0,0,0,0,0,
CURRIC 418,0,0,0,0,0,0,0,0,
CURRIC 419,3,0,0,0,0,0,0,0,
CURRIC/MUSIC 420,62,58,3,0,0,1,0,0,A
CURRIC/MUSIC 421,66,60,2,3,1,0,0,0,A
CURRIC/THEATRE 426,41,30,4,1,1,1,2,0,A
CURRIC/CSCS 427,342,164,72,45,24,22,6,4,B
CURRIC/CSCS 428,437,274,84,43,10,19,4,2,A
CURRIC 432,183,167,12,1,1,1,0,0,A
CURRIC 435,114,103,8,3,0,0,0,0,A
CURRIC 442,0,0,0,0,0,0,0,0,
CURRIC 443,4,0,0,0,0,0,0,0,
CURRIC 454,14,0,0,0,0,0,0,0,
CURRIC 458,13,0,0,0,0,0,0,0,
CURRIC 459,15,0,0,0,0,0,0,0,
CURRIC/THEATRE 462,63,62,0,1,0,0,0,0,A
CURRIC 463,1543,1498,29,11,0,0,0,0,A
CURRIC 464,64,0,0,0,0,0,0,0,
CURRIC 466,0,0,0,0,0,0,0,0,
CURRIC 467,0,0,0,0,0,0,0,0,
CURRIC 468,18,0,0,0,0,0,0,0,
CURRIC/MATH 471,59,37,11,9,1,1,0,0,A
CURRIC 472,18,0,0,0,0,0,0,0,
CURRIC/KINES 478,35,26,2,5,1,0,0,0,A
CURRIC/KINES 479,29,24,2,0,0,0,0,0,A
CURRIC 490,8,0,0,0,0,0,0,0,
CURRIC/ART ED 493,155,141,7,2,3,0,0,0,A
CURRIC 494,18,0,0,0,0,0,0,0,
CURRIC 495,9,0,0,0,0,0,0,0,
CURRIC 496,37,0,0,0,0,0,0,0,
CURRIC 497,4,0,0,0,0,0,0,0,
CURRIC 500,87,82,3,0,0,0,0,0,A
CURRIC/COMP SCI 502,166,160,4,1,0,1,0,0,A
CURRIC 503,86,82,0,1,0,0,0,0,A
CURRIC 504,96,87,7,0,0,0,0,0,A
CURRIC/RP & SE 506,2598,2286,233,48,9,13,2,0,A
CURRIC 507,587,548,34,4,0,0,1,0,A
CURRIC 508,87,82,3,0,0,0,0,0,A
CURRIC 510,87,82,3,0,0,0,0,0,A
CURRIC 511,25,0,0,0,0,0,0,0,
CURRIC/ED POL/HISTORY/JEWISH 515,415,277,94,26,7,7,0,1,A
CURRIC/ED POL/RELIG ST 516,38,24,5,3,0,1,0,0,A
CURRIC/THEATRE 525,8,7,0,1,0,0,0,0,A
CURRIC 534,55,50,2,1,1,0,0,0,A
CURRIC 535,55,50,2,1,1,0,0,0,A
CURRIC 536,48,35,8,3,1,1,0,0,A
CURRIC 537,378,337,28,12,0,0,1,0,A
CURRIC 545,6,6,0,0,0,0,0,0,A
CURRIC 546,0,0,0,0,0,0,0,0,
CURRIC 550,417,386,15,4,0,0,0,0,A
CURRIC 559,277,231,34,10,0,0,0,0,A
CURRIC/THEATRE 562,19,15,4,0,0,0,0,0,A
CURRIC 564,130,117,3,2,0,1,0,0,A
CURRIC 576,36,33,2,1,0,0,0,0,A
CURRIC 590,208,145,28,9,0,0,0,2,A
CURRIC 596,247,234,7,4,0,0,0,0,A
CURRIC 604,330,328,0,0,0,0,0,0,A
CURRIC 606,60,57,0,0,0,1,0,0,A
CURRIC/L I S 620,654,603,27,8,1,0,0,0,A
CURRIC 625,227,181,38,6,0,0,0,0,A
CURRIC 626,289,286,0,0,0,0,0,0,A
CURRIC 630,664,605,22,3,3,3,0,0,A
CURRIC 632,63,61,1,1,0,0,0,0,A
CURRIC 635,664,605,22,3,3,3,0,0,A
CURRIC 636,94,61,13,11,0,5,0,0,A
CURRIC 637,77,54,11,8,1,2,0,0,A
CURRIC 638,43,30,7,5,0,1,0,0,A
CURRIC 639,51,38,8,3,2,0,0,0,A
CURRIC 640,33,20,9,1,0,2,0,0,A
CURRIC 660,607,504,83,9,2,0,0,2,A
CURRIC 663,299,254,28,11,3,0,0,0,A
CURRIC 665,79,74,1,0,0,0,0,1,A
CURRIC 670,14,14,0,0,0,0,0,0,A
CURRIC 671,0,0,0,0,0,0,0,0,
CURRIC 673,292,191,23,17,0,1,0,0,A
CURRIC 674,481,396,36,17,1,2,0,0,A
CURRIC 675,2237,2069,77,27,4,2,0,1,A
CURRIC 676,68,52,8,3,1,0,0,0,A
CURRIC 690,575,564,6,1,0,0,0,0,A
CURRIC 699,79,59,1,0,0,0,0,0,A
CURRIC 702,48,32,12,2,0,0,0,0,A
CURRIC 704,140,127,4,3,1,0,0,0,A
CURRIC 709,21,21,0,0,0,0,0,0,A
CURRIC 711,46,41,3,0,0,0,0,0,A
CURRIC 712,270,254,5,1,0,0,0,0,A
CURRIC 713,167,54,3,0,0,4,0,0,A
CURRIC 714,125,96,0,0,0,0,0,0,A
CURRIC 715,100,75,14,6,0,0,0,0,A
CURRIC 716,150,127,0,0,0,0,0,0,A
CURRIC 718,186,172,3,1,0,0,0,0,A
CURRIC/COUN PSY/ED POL/ED PSYCH/ELPA/RP & SE 719,538,487,32,3,1,0,0,0,A
CURRIC 720,226,221,5,0,0,0,0,0,A
CURRIC 721,46,41,3,0,0,0,0,0,A
CURRIC 723,62,59,0,0,0,0,0,0,A
CURRIC 726,54,51,1,0,0,0,0,0,A
CURRIC 727,27,20,1,0,0,0,0,0,A
CURRIC 729,298,284,1,1,0,0,0,0,A
CURRIC 731,46,41,3,0,0,0,0,0,A
CURRIC/STS 733,46,33,7,2,0,0,0,0,A
CURRIC/STS 734,6,5,0,0,0,0,0,0,A
CURRIC 735,10,10,0,0,0,0,0,0,A
CURRIC 736,10,10,0,0,0,0,0,0,A
CURRIC 737,10,10,0,0,0,0,0,0,A
CURRIC 739,10,10,0,0,0,0,0,0,A
CURRIC 743,272,251,4,0,0,0,0,0,A
CURRIC 744,272,251,4,0,0,0,0,0,A
CURRIC/ELPA 746,81,60,6,9,0,1,0,0,A
CURRIC 747,272,251,4,0,0,0,0,0,A
CURRIC/GEN&WS 760,72,68,0,0,0,0,0,0,A
CURRIC 764,62,59,1,0,0,0,0,0,A
CURRIC 765,29,20,0,0,0,0,0,0,A
CURRIC 772,48,32,12,2,0,0,0,0,A
CURRIC 774,16,14,0,1,0,0,0,0,A
CURRIC 775,14,14,0,0,0,0,0,0,A
CURRIC 778,13,12,0,0,0,0,0,0,A
CURRIC/COUN PSY/ED POL/ED PSYCH/ELPA/RP & SE 788,219,193,3,3,0,0,0,0,A
CURRIC/COUN PSY/ED POL/ED PSYCH/ELPA/RP & SE 789,144,129,3,1,0,0,1,0,A
CURRIC 790,8,6,0,0,0,0,0,0,A
CURRIC 799,11,11,0,0,0,0,0,0,A
CURRIC 802,48,32,12,2,0,0,0,0,A
CURRIC/ED PSYCH/L I S 803,9,8,0,0,0,0,0,0,A
CURRIC 805,86,86,0,0,0,0,0,0,A
CURRIC 809,4,3,0,0,0,0,0,0,A
CURRIC 810,66,58,4,2,0,0,0,0,A
CURRIC 811,80,62,11,3,2,0,0,0,A
CURRIC 812,50,36,9,4,1,0,0,0,A
CURRIC 818,27,25,1,0,0,0,0,0,A
CURRIC/ED PSYCH 821,25,24,0,0,0,0,0,0,A
CURRIC 823,21,19,0,0,0,0,0,0,A
CURRIC 829,48,43,1,0,0,0,0,0,A
CURRIC 830,191,152,16,0,0,0,0,0,A
CURRIC 832,25,25,0,0,0,0,0,0,A
CURRIC 835,54,42,12,0,0,0,0,0,A
CURRIC 840,82,79,3,0,0,0,0,0,A
CURRIC 844,212,198,2,1,0,0,0,0,A
CURRIC/ED POL 855,96,79,4,0,0,1,0,0,A
CURRIC 860,70,63,6,1,0,0,0,0,A
CURRIC 864,46,44,0,0,0,0,0,0,A
CURRIC 900,54,52,1,0,0,0,0,0,A
CURRIC 910,184,145,15,0,0,0,0,0,A
CURRIC 912,0,0,0,0,0,0,0,0,
CURRIC/COM ARTS 914,9,8,0,1,0,0,0,0,A
CURRIC 916,271,220,2,1,0,0,0,0,A
CURRIC/ENVIR ST 932,6,5,0,0,0,0,0,0,A
CURRIC 942,150,141,9,0,0,0,0,0,A
CURRIC 943,0,0,0,0,0,0,0,0,
CURRIC 946,42,34,3,0,1,0,0,0,A
CURRIC 947,9,9,0,0,0,0,0,0,A
CURRIC 949,59,54,4,1,0,0,0,0,A
CURRIC 950,35,26,7,0,0,0,0,0,A
CURRIC 955,0,0,0,0,0,0,0,0,
CURRIC 960,165,161,3,0,0,0,0,0,A
CURRIC/ED POL 963,0,0,0,0,0,0,0,0,
CURRIC 964,69,54,0,0,0,0,0,0,A
CURRIC 975,1379,1214,74,18,3,0,1,0,A
CURRIC 976,63,63,0,0,0,0,0,0,A
CURRIC 990,2054,0,0,0,0,0,0,0,
CURRIC 991,2,0,0,0,0,0,0,0,
CURRIC 999,168,129,3,1,0,0,0,0,A
DY SCI 1,0,0,0,0,0,0,0,0,
DY SCI/AN SCI 101,1959,600,361,701,140,121,13,14,B
DY SCI/AN SCI 102,175,149,12,9,1,3,0,0,A
DY SCI 205,245,159,54,30,0,0,0,0,A
